frameNo: 0 | Accumulated: 2 | PTS: 108053634698 | PTSInterval: 10805363469000
frameNo: 2 | Accumulated: 4 | PTS: 108054320582 | PTSInterval: 68589000
frameNo: 6 | Accumulated: 3 | PTS: 108054818448 | PTSInterval: 49786000
frameNo: 9 | Accumulated: 3 | PTS: 108055303664 | PTSInterval: 48522000
frameNo: 12 | Accumulated: 2 | PTS: 108055629810 | PTSInterval: 32615000
frameNo: 14 | Accumulated: 1 | PTS: 108055964710 | PTSInterval: 33490000
frameNo: 15 | Accumulated: 1 | PTS: 108056460717 | PTSInterval: 49600000
frameNo: 16 | Accumulated: 1 | PTS: 108056962964 | PTSInterval: 50225000
frameNo: 17 | Accumulated: 1 | PTS: 108057463027 | PTSInterval: 50006000
frameNo: 18 | Accumulated: 1 | PTS: 108057962050 | PTSInterval: 49903000
frameNo: 19 | Accumulated: 1 | PTS: 108058465099 | PTSInterval: 50304000
frameNo: 20 | Accumulated: 1 | PTS: 108058963596 | PTSInterval: 49850000
frameNo: 21 | Accumulated: 1 | PTS: 108059463804 | PTSInterval: 50021000
frameNo: 22 | Accumulated: 1 | PTS: 108060079212 | PTSInterval: 61541000
frameNo: 23 | Accumulated: 1 | PTS: 108060461967 | PTSInterval: 38275000
frameNo: 24 | Accumulated: 1 | PTS: 108060962729 | PTSInterval: 50076000
frameNo: 25 | Accumulated: 1 | PTS: 108061462764 | PTSInterval: 50004000
frameNo: 26 | Accumulated: 1 | PTS: 108061962255 | PTSInterval: 49949000
frameNo: 27 | Accumulated: 1 | PTS: 108062461122 | PTSInterval: 49887000
frameNo: 28 | Accumulated: 1 | PTS: 108062962732 | PTSInterval: 50161000
frameNo: 29 | Accumulated: 1 | PTS: 108063463163 | PTSInterval: 50043000
frameNo: 30 | Accumulated: 1 | PTS: 108063962715 | PTSInterval: 49955000
frameNo: 31 | Accumulated: 1 | PTS: 108064461903 | PTSInterval: 49919000
frameNo: 32 | Accumulated: 1 | PTS: 108064964578 | PTSInterval: 50267000
frameNo: 33 | Accumulated: 1 | PTS: 108065462245 | PTSInterval: 49767000
frameNo: 34 | Accumulated: 1 | PTS: 108065962194 | PTSInterval: 49995000
frameNo: 35 | Accumulated: 1 | PTS: 108066465818 | PTSInterval: 50362000
frameNo: 36 | Accumulated: 1 | PTS: 108066968321 | PTSInterval: 50251000
frameNo: 37 | Accumulated: 1 | PTS: 108067461388 | PTSInterval: 49306000
frameNo: 38 | Accumulated: 1 | PTS: 108067962582 | PTSInterval: 50120000
frameNo: 39 | Accumulated: 1 | PTS: 108068461997 | PTSInterval: 49941000
frameNo: 40 | Accumulated: 1 | PTS: 108068961758 | PTSInterval: 49976000
frameNo: 41 | Accumulated: 1 | PTS: 108069462905 | PTSInterval: 50115000
frameNo: 42 | Accumulated: 2 | PTS: 108070300699 | PTSInterval: 83779000
frameNo: 44 | Accumulated: 3 | PTS: 108070798591 | PTSInterval: 49790000
frameNo: 47 | Accumulated: 3 | PTS: 108071297098 | PTSInterval: 49850000
frameNo: 50 | Accumulated: 3 | PTS: 108071796586 | PTSInterval: 49949000
frameNo: 53 | Accumulated: 3 | PTS: 108072302767 | PTSInterval: 50618000
frameNo: 56 | Accumulated: 3 | PTS: 108072799521 | PTSInterval: 49676000
frameNo: 59 | Accumulated: 3 | PTS: 108073298735 | PTSInterval: 49921000
frameNo: 62 | Accumulated: 1 | PTS: 108073463528 | PTSInterval: 16479000
frameNo: 63 | Accumulated: 1 | PTS: 108073961713 | PTSInterval: 49819000
frameNo: 64 | Accumulated: 1 | PTS: 108074468009 | PTSInterval: 50629000
frameNo: 65 | Accumulated: 2 | PTS: 108075298807 | PTSInterval: 83080000
frameNo: 67 | Accumulated: 1 | PTS: 108075462456 | PTSInterval: 16365000
frameNo: 68 | Accumulated: 1 | PTS: 108075962651 | PTSInterval: 50020000
frameNo: 69 | Accumulated: 1 | PTS: 108076463421 | PTSInterval: 50077000
frameNo: 70 | Accumulated: 1 | PTS: 108076963840 | PTSInterval: 50042000
frameNo: 71 | Accumulated: 1 | PTS: 108077463388 | PTSInterval: 49954000
frameNo: 72 | Accumulated: 1 | PTS: 108077962688 | PTSInterval: 49930000
frameNo: 73 | Accumulated: 3 | PTS: 108078629831 | PTSInterval: 66715000
frameNo: 76 | Accumulated: 3 | PTS: 108079130910 | PTSInterval: 50108000
frameNo: 79 | Accumulated: 2 | PTS: 108079631754 | PTSInterval: 50084000
frameNo: 81 | Accumulated: 2 | PTS: 108080128417 | PTSInterval: 49666000
frameNo: 83 | Accumulated: 2 | PTS: 108080630909 | PTSInterval: 50249000
frameNo: 85 | Accumulated: 3 | PTS: 108081130093 | PTSInterval: 49919000
frameNo: 88 | Accumulated: 3 | PTS: 108081630698 | PTSInterval: 50060000
frameNo: 91 | Accumulated: 2 | PTS: 108081966172 | PTSInterval: 33548000
frameNo: 93 | Accumulated: 1 | PTS: 108082296142 | PTSInterval: 32997000
frameNo: 94 | Accumulated: 3 | PTS: 108083131967 | PTSInterval: 83582000
frameNo: 97 | Accumulated: 3 | PTS: 108083629448 | PTSInterval: 49748000
frameNo: 100 | Accumulated: 2 | PTS: 108083969942 | PTSInterval: 34050000
frameNo: 102 | Accumulated: 1 | PTS: 108084303025 | PTSInterval: 33308000
frameNo: 103 | Accumulated: 3 | PTS: 108085130952 | PTSInterval: 82793000
frameNo: 106 | Accumulated: 3 | PTS: 108085639657 | PTSInterval: 50870000
frameNo: 109 | Accumulated: 3 | PTS: 108086132953 | PTSInterval: 49330000
frameNo: 112 | Accumulated: 2 | PTS: 108086465342 | PTSInterval: 33239000
frameNo: 114 | Accumulated: 1 | PTS: 108086802580 | PTSInterval: 33724000
frameNo: 115 | Accumulated: 2 | PTS: 108087551486 | PTSInterval: 74890000
frameNo: 117 | Accumulated: 2 | PTS: 108087797555 | PTSInterval: 24607000
frameNo: 119 | Accumulated: 1 | PTS: 108088133097 | PTSInterval: 33554000
frameNo: 120 | Accumulated: 1 | PTS: 108088629767 | PTSInterval: 49667000
frameNo: 121 | Accumulated: 1 | PTS: 108089137685 | PTSInterval: 50792000
frameNo: 122 | Accumulated: 1 | PTS: 108089630189 | PTSInterval: 49250000
frameNo: 123 | Accumulated: 1 | PTS: 108090130503 | PTSInterval: 50032000
frameNo: 124 | Accumulated: 1 | PTS: 108090629698 | PTSInterval: 49919000
frameNo: 125 | Accumulated: 1 | PTS: 108091129908 | PTSInterval: 50021000
frameNo: 126 | Accumulated: 1 | PTS: 108091629702 | PTSInterval: 49980000
frameNo: 127 | Accumulated: 1 | PTS: 108092129580 | PTSInterval: 49988000
frameNo: 128 | Accumulated: 1 | PTS: 108092630008 | PTSInterval: 50042000
frameNo: 129 | Accumulated: 1 | PTS: 108093130410 | PTSInterval: 50041000
frameNo: 130 | Accumulated: 1 | PTS: 108093630466 | PTSInterval: 50005000
frameNo: 131 | Accumulated: 1 | PTS: 108094133805 | PTSInterval: 50334000
frameNo: 132 | Accumulated: 1 | PTS: 108094628954 | PTSInterval: 49515000
frameNo: 133 | Accumulated: 1 | PTS: 108095132690 | PTSInterval: 50374000
frameNo: 134 | Accumulated: 1 | PTS: 108095630452 | PTSInterval: 49776000
frameNo: 135 | Accumulated: 1 | PTS: 108096130033 | PTSInterval: 49958000
frameNo: 136 | Accumulated: 1 | PTS: 108096639147 | PTSInterval: 50911000
frameNo: 137 | Accumulated: 1 | PTS: 108097129416 | PTSInterval: 49027000
frameNo: 138 | Accumulated: 1 | PTS: 108097630055 | PTSInterval: 50064000
frameNo: 139 | Accumulated: 1 | PTS: 108098130276 | PTSInterval: 50022000
frameNo: 140 | Accumulated: 1 | PTS: 108098630655 | PTSInterval: 50038000
frameNo: 141 | Accumulated: 1 | PTS: 108099133247 | PTSInterval: 50259000
frameNo: 142 | Accumulated: 1 | PTS: 108099631142 | PTSInterval: 49790000
frameNo: 143 | Accumulated: 1 | PTS: 108100129604 | PTSInterval: 49846000
frameNo: 144 | Accumulated: 1 | PTS: 108100629402 | PTSInterval: 49980000
frameNo: 145 | Accumulated: 1 | PTS: 108101130366 | PTSInterval: 50096000
frameNo: 146 | Accumulated: 1 | PTS: 108101632400 | PTSInterval: 50204000
frameNo: 147 | Accumulated: 1 | PTS: 108102132160 | PTSInterval: 49976000
frameNo: 148 | Accumulated: 1 | PTS: 108102633250 | PTSInterval: 50109000
frameNo: 149 | Accumulated: 1 | PTS: 108103130230 | PTSInterval: 49698000
frameNo: 150 | Accumulated: 1 | PTS: 108103630768 | PTSInterval: 50053000
frameNo: 151 | Accumulated: 1 | PTS: 108104023669 | PTSInterval: 39290000
